runname,id,nDCG@0020,D#nDCG@0020,I-rec@0020
TUTA1-D-C-1B,0001,0.0286,0.1825,0.3333
TUTA1-D-C-1B,0002,0.1993,0.4365,0.6667
TUTA1-D-C-1B,0003,0.4026,0.7136,1.0
TUTA1-D-C-1B,0004,0.2643,0.6381,1.0
TUTA1-D-C-1B,0005,0.3002,0.538,0.75
TUTA1-D-C-1B,0006,0.1996,0.3526,0.5
TUTA1-D-C-1B,0007,0.525,0.7777,1.0
TUTA1-D-C-1B,0008,0.0,0.0,0.0
TUTA1-D-C-1B,0009,0.7567,0.8774,1.0
TUTA1-D-C-1B,0010,0.835,0.7841,0.75
TUTA1-D-C-1B,0011,0.6829,0.6791,0.6667
TUTA1-D-C-1B,0012,0.9167,0.9546,1.0
TUTA1-D-C-1B,0013,1.0,1.0,1.0
TUTA1-D-C-1B,0014,0.784,0.8899,1.0
TUTA1-D-C-1B,0015,0.8319,0.9167,1.0
TUTA1-D-C-1B,0016,0.7557,0.8818,1.0
TUTA1-D-C-1B,0017,0.8281,0.9331,1.0
TUTA1-D-C-1B,0018,0.6738,0.8428,1.0
TUTA1-D-C-1B,0019,0.9611,0.7285,0.5
TUTA1-D-C-1B,0020,0.8768,0.9407,1.0
TUTA1-D-C-1B,0021,0.7701,0.9017,1.0
TUTA1-D-C-1B,0022,0.803,0.7863,0.75
TUTA1-D-C-1B,0023,0.4653,0.7507,1.0
TUTA1-D-C-1B,0024,0.684,0.8458,1.0
TUTA1-D-C-1B,0025,0.4119,0.7508,1.0
TUTA1-D-C-1B,0026,0.8887,0.8411,0.8
TUTA1-D-C-1B,0027,0.5072,0.7598,1.0
TUTA1-D-C-1B,0028,0.9924,0.9959,1.0
TUTA1-D-C-1B,0029,0.7789,0.9138,1.0
TUTA1-D-C-1B,0030,0.9266,0.9657,1.0
TUTA1-D-C-1B,0031,0.8886,0.9435,1.0
TUTA1-D-C-1B,0032,0.8292,0.9178,1.0
FRDC-D-C-1A,0001,0.7352,0.6913,0.6667
FRDC-D-C-1A,0002,0.5748,0.7763,1.0
FRDC-D-C-1A,0003,0.0,0.0,0.0
FRDC-D-C-1A,0004,0.4035,0.7116,1.0
FRDC-D-C-1A,0005,0.0399,0.1452,0.25
FRDC-D-C-1A,0006,0.0,0.0,0.0
FRDC-D-C-1A,0007,0.0,0.0,0.0
FRDC-D-C-1A,0008,0.2311,0.6266,1.0
FRDC-D-C-1A,0009,0.0,0.0,0.0
FRDC-D-C-1A,0010,0.5367,0.6315,0.75
FRDC-D-C-1A,0011,0.47,0.5625,0.6667
FRDC-D-C-1A,0012,0.128,0.321,0.5
FRDC-D-C-1A,0013,1.0,1.0,1.0
FRDC-D-C-1A,0014,0.0,0.0,0.0
FRDC-D-C-1A,0015,0.2179,0.265,0.3333
FRDC-D-C-1A,0016,0.0,0.0,0.0
FRDC-D-C-1A,0017,0.3962,0.5231,0.6667
FRDC-D-C-1A,0018,0.0,0.0,0.0
FRDC-D-C-1A,0019,0.0,0.0,0.0
FRDC-D-C-1A,0020,0.0,0.0,0.0
FRDC-D-C-1A,0021,0.8167,0.9066,1.0
FRDC-D-C-1A,0022,0.6747,0.4652,0.25
FRDC-D-C-1A,0023,0.0,0.0,0.0
FRDC-D-C-1A,0024,0.3197,0.6419,1.0
FRDC-D-C-1A,0025,0.0,0.0,0.0
FRDC-D-C-1A,0026,0.8161,0.8093,0.8
FRDC-D-C-1A,0027,0.8472,0.9249,1.0
FRDC-D-C-1A,0028,0.6424,0.8084,1.0
FRDC-D-C-1A,0029,0.0,0.0,0.0
FRDC-D-C-1A,0030,0.8983,0.9512,1.0
FRDC-D-C-1A,0031,0.1758,0.3135,0.5
