runname,id,nDCG@0020,D#nDCG@0020,I-rec@0020
TUTA1-D-C-1B,0001,0.0178,0.1096,0.2
TUTA1-D-C-1B,0002,0.1528,0.3296,0.5
TUTA1-D-C-1B,0003,0.4508,0.6452,0.8
TUTA1-D-C-1B,0004,0.2051,0.4424,0.6667
TUTA1-D-C-1B,0005,0.3315,0.558,0.75
TUTA1-D-C-1B,0006,0.2003,0.441,0.6667
TUTA1-D-C-1B,0007,0.4391,0.7369,1.0
TUTA1-D-C-1B,0008,0.0,0.0,0.0
TUTA1-D-C-1B,0009,0.7781,0.886,1.0
TUTA1-D-C-1B,0010,0.772,0.6005,0.4286
TUTA1-D-C-1B,0011,0.7284,0.6176,0.5
TUTA1-D-C-1B,0012,0.7906,0.6683,0.5556
TUTA1-D-C-1B,0013,0.9723,0.9858,1.0
TUTA1-D-C-1B,0014,0.7527,0.6728,0.6
TUTA1-D-C-1B,0015,0.7572,0.7709,0.7778
TUTA1-D-C-1B,0016,0.5009,0.6665,0.8182
TUTA1-D-C-1B,0017,0.6911,0.7782,0.8333
TUTA1-D-C-1B,0018,0.6304,0.5714,0.5
TUTA1-D-C-1B,0019,0.8227,0.7844,0.75
TUTA1-D-C-1B,0020,0.621,0.6862,0.75
TUTA1-D-C-1B,0021,0.4676,0.5979,0.7
TUTA1-D-C-1B,0022,0.3509,0.4272,0.5
TUTA1-D-C-1B,0023,0.4654,0.7507,1.0
TUTA1-D-C-1B,0024,0.4743,0.6228,0.75
TUTA1-D-C-1B,0025,0.3434,0.5357,0.6667
TUTA1-D-C-1B,0026,0.8905,0.8128,0.7273
TUTA1-D-C-1B,0027,0.5799,0.7975,1.0
TUTA1-D-C-1B,0028,0.6925,0.6457,0.6
TUTA1-D-C-1B,0029,0.6654,0.7849,0.8571
TUTA1-D-C-1B,0030,0.78,0.7371,0.7
TUTA1-D-C-1B,0031,0.913,0.9563,1.0
TUTA1-D-C-1B,0032,0.7882,0.74,0.6923
FRDC-D-C-1A,0001,0.7073,0.7303,0.8
FRDC-D-C-1A,0002,0.5737,0.7173,0.875
FRDC-D-C-1A,0003,0.0,0.0,0.0
FRDC-D-C-1A,0004,0.3439,0.4571,0.5556
FRDC-D-C-1A,0005,0.0461,0.0861,0.125
FRDC-D-C-1A,0006,0.0,0.0,0.0
FRDC-D-C-1A,0007,0.0,0.0,0.0
FRDC-D-C-1A,0008,0.231,0.6266,1.0
FRDC-D-C-1A,0009,0.0,0.0,0.0
FRDC-D-C-1A,0010,0.4885,0.4524,0.4286
FRDC-D-C-1A,0011,0.4827,0.4844,0.5
FRDC-D-C-1A,0012,0.0873,0.1043,0.1111
FRDC-D-C-1A,0013,0.9734,0.9865,1.0
FRDC-D-C-1A,0014,0.0,0.0,0.0
FRDC-D-C-1A,0015,0.2804,0.2432,0.2222
FRDC-D-C-1A,0016,0.0,0.0,0.0
FRDC-D-C-1A,0017,0.4256,0.4539,0.5
FRDC-D-C-1A,0018,0.0,0.0,0.0
FRDC-D-C-1A,0019,0.0,0.0,0.0
FRDC-D-C-1A,0020,0.0,0.0,0.0
FRDC-D-C-1A,0021,0.4811,0.5513,0.6
FRDC-D-C-1A,0022,0.6774,0.4365,0.2
FRDC-D-C-1A,0023,0.0,0.0,0.0
FRDC-D-C-1A,0024,0.306,0.268,0.25
FRDC-D-C-1A,0025,0.0,0.0,0.0
FRDC-D-C-1A,0026,0.8608,0.7026,0.5455
FRDC-D-C-1A,0027,0.906,0.9529,1.0
FRDC-D-C-1A,0028,0.4007,0.5495,0.7
FRDC-D-C-1A,0029,0.0,0.0,0.0
FRDC-D-C-1A,0030,0.6847,0.6904,0.7
FRDC-D-C-1A,0031,0.1163,0.1674,0.25
FRDC-D-C-1A,0032,0.4114,0.3093,0.2308
THUSAM-D-C-1A,0001,0.3303,0.5704,0.8
THUSAM-D-C-1A,0002,0.1327,0.2616,0.375
THUSAM-D-C-1A,0003,0.1212,0.4683,0.8
THUSAM-D-C-1A,0004,0.7583,0.8166,0.8889
THUSAM-D-C-1A,0005,0.5043,0.5633,0.625
THUSAM-D-C-1A,0006,0.3107,0.5078,0.6667
THUSAM-D-C-1A,0007,0.2385,0.517,0.8
THUSAM-D-C-1A,0008,1.0,1.0,1.0
THUSAM-D-C-1A,0009,0.3828,0.5128,0.6667
THUSAM-D-C-1A,0010,0.6559,0.6788,0.7143
THUSAM-D-C-1A,0011,0.4365,0.5991,0.75
THUSAM-D-C-1A,0012,0.6298,0.6677,0.6667
THUSAM-D-C-1A,0013,0.6319,0.8141,1.0
THUSAM-D-C-1A,0014,0.6931,0.6894,0.7
THUSAM-D-C-1A,0015,0.7066,0.8117,0.8889
THUSAM-D-C-1A,0016,0.7756,0.575,0.3636
THUSAM-D-C-1A,0017,0.2253,0.2866,0.3333
THUSAM-D-C-1A,0018,0.6123,0.7367,0.875
THUSAM-D-C-1A,0019,0.6084,0.6096,0.625
THUSAM-D-C-1A,0020,0.7179,0.8043,0.875
THUSAM-D-C-1A,0021,0.3211,0.4557,0.6
THUSAM-D-C-1A,0022,0.8229,0.7569,0.7
THUSAM-D-C-1A,0023,0.0,0.0,0.0
THUSAM-D-C-1A,0024,0.5541,0.6677,0.75
THUSAM-D-C-1A,0025,0.5322,0.751,1.0
THUSAM-D-C-1A,0026,0.692,0.727,0.7273
THUSAM-D-C-1A,0027,0.8777,0.9378,1.0
THUSAM-D-C-1A,0028,0.3994,0.3897,0.4
